,job description,startup description,label,justification
55,"Conduct quantitative analyses of information involving investment programs or financial data of public or private institutions, including valuation of businesses.","Fido offers a web-based platform for credit Scoring for the Digital World. Their technology helps in Driving growth with AI-powered solution based on digital signals, machine learning and a global data consortium. The company is based in Milan, Italy.",True,AI credit scoring platform—directly supports quantitative risk analysis.
56,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.","SellerPic is an AI-powered platform that simplifies the process of creating professional product visuals for e-commerce businesses. By transforming a single product photo, SellerPic generates high-quality marketing assets, including realistic lifestyle images, customizable model shots, and dynamic short-form videos. The platform streamlines content creation for businesses of all sizes, allowing them to focus on growth while reducing time and costs associated with traditional photo shoots and editing. Whether for product listings, social media, or advertising campaigns, SellerPic provides a quick and effective solution to enhance product presentation and boost engagement.SellerPic is an innovative AI-powered platform revolutionizing the way e-commerce businesses create and showcase their product content. By leveraging cutting-edge artificial intelligence, SellerPic transforms a single product photo into a wide array of high-quality marketing assets, including stunning lifestyle scene images, professional model shots, and dynamic short-form videos. This eliminates the need for expensive photo shoots, time-consuming edits, and complex content creation processes.
The platform is designed to make it easy for businesses of all sizes to enhance their product presentation without the need for specialized knowledge or equipment. SellerPic’s AI-powered lifestyle scene generation seamlessly integrates products into realistic and diverse environments—from cozy home settings to outdoor landscapes and trendy cafés—perfect for highlighting a wide range of products.
SellerPic also offers powerful customization tools for generating model shots, allowing users to tailor attributes such as skin tone, body type, clothing, and poses to resonate with their specific audience. Whether selling fashion, accessories, or tech products, businesses can create inclusive, appealing visuals that accurately represent their brand identity.
In addition, SellerPic automatically generates attention-grabbing videos from static product photos. These short-form videos are optimized for social media platforms like TikTok, Instagram Reels, and YouTube Shorts, featuring smooth transitions, animations, and effects to create engaging content that drives online sales and boosts brand visibility.
What sets SellerPic apart is its ability to produce professional-grade visuals with minimal effort and no expertise required. With a user-friendly interface and fast processing times, SellerPic empowers e-commerce businesses to efficiently create high-conversion, high-quality visuals, whether for product listings, social media campaigns, or ads. The platform not only simplifies the visual content creation process but also helps businesses reduce costs, save valuable time, and accelerate their marketing efforts.
SellerPic is the ultimate tool for anyone looking to stand out in the competitive e-commerce landscape, providing a faster, more cost-effective, and scalable way to produce exceptional product imagery and videos. Whether a small business looking to enhance online presence or a large retailer looking to streamline content creation, SellerPic is an essential resource for elevating product visuals and driving e-commerce success.",False,"SellerPic focuses on generating marketing visuals for e-commerce and does not provide digital forensics, cybercrime investigation, or evidence analysis tools."
57,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","Vision is the most dominant of our senses. Yet, 2.2 billion people suffer from vision impairments of which 50% could be prevented or cured.",False,"Vision impairment health solution, unrelated to crop cultivation."
58,"Teach courses in drama, music, and the arts including fine and applied art, such as painting and sculpture, or design and crafts. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.",We build bridges between the vision and implementation of AI solutions.,False,This company focuses on implementing AI solutions for businesses; it does not target teaching or creative arts education.
59,"Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners.","At Ponicode, we want to help developers focus on what they like to do most, on the exciting parts of their job. We are creating a unique AI coding partner that will handle all low-interest but essential tasks for them and allow them to focus on what lies ahead. Ponicode generates test files according to your preferred location and naming conventions. We do the work, you stay in control of the result.",False,Ponicode aids software unit testing; no relevance to arranging funeral services.
60,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","At Wavess, we understand that reaching the right customer and creating effective content is critical for any company's growth.",False,Wavess focuses on customer targeting and content creation for marketing; it does not engage in research on physical laws or experimental physics.
61,"Perform various tasks to arrange and direct individual funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners.","Gestoos develops an Artificial Intelligence software that can recognize people’s gestures and behaviour in real-time. Powered by Computer Vision, our tech enable machines to see, understand and respond to human movement and behavior. Empowering you to create intelligent, engaging solutions.",False,Gestoos gesture/behavior recognition is not pertinent to funeral logistics or family coordination.
62,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.","Bacteria are the most genetically diverse organisms on the planet - and produce an equally diverse range of chemicals. Many of these chemicals are used to treat diseases, perform gene therapy, and to create better detergents. Bactobio uses next-generation-sequencing, machine learning, and cutting edge cultivation techniques to harvest biological dark matter and applying them to medical and industrial applications. We aim to solve the antibiotic resistance crisis by discovering novel antibiotic classes targeting some of the most urgent bacterial pathogens - before moving on to broader applications.",True,Bactobio directly focuses on discovering new antibiotics and cultivating microbial diversity — exactly aligned with microbiology research.
63,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Claimsforce is a SaaS-based technology platform that uses AI and machine learning to provide insurers and third-party administrators with an end-to-end claims management platform that is more time-efficient, price accurate, and customer-focused than legacy claims systems. In an industry where first and second-generation legacy technology can often mean outdated and cumbersome claims processing, Claimsforce uses AI-based regulation control and increased data points to assess the damage, analyze the claim, and settle quickly. The platform improves the overall efficiency of claims settlements, lowers claims costs, and tracks customer satisfaction through NPS audits.",True,"Claimsforce modernizes insurance claims processing, enabling more efficient financial and insurance operations."
64,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.","Jade Autism develops educational solutions for children with Autistic Spectrum Disorder (ASD) or other learning disabilities, helping their cognitive development and using technology for inclusive education.",True,"Jade Autism develops educational tools for children with ASD or learning disabilities, directly supporting school psychologists’ work."
65,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","neuroflash generates the best German texts in the DACH region. The goal is for our AI technology to fully automatically generate 5 professional text suggestions on a given topic in just 5 seconds. neuroflash uses multilingual modern language models (auto-regressive language transformers; GPT-3) to generate texts. These enormously large language models are trained with content from the web (over 1 billion texts), books or even film transcripts. These text corpora are fed into neural networks (Deep Learning models) that are able to recognise statistical patterns in texts. This makes it possible, for example, to predict the next word in a text. This ability enables these language models to generate texts. neuroflash complements this forward-looking technology with associative analyses and thus knows which words work well with which other words, i.e. are implicitly positively associated.",False,neuroflash generates marketing text; unrelated to financial management.
66,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.",KIMO is an AI firm focused on personalized education. We map knowledge domains and calculate optimal journeys through those domains. Kimo is a venture focused on smart education in Amsterdam. Our team is focused on auto-generating individual learning paths through all online content - where the end goal is truly personalized learning paths.,True,KIMO maps knowledge domains and builds individual learning paths—relevant for individualized education plans.
67,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.","Kin is an AI designed as a compassionate companion, providing individuals with privacy-first, empathetic interaction, and stimulating conversation.",False,"Kin provides empathetic conversational support and companionship, which could support patient motivation and emotional well-being but does not directly help plan or run rehabilitative physical therapy programs."
68,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.","Konverso is a start-up that provides a chatbots platform with ready-to-use chatbots and enables to create new specific Virtual Agents that improve employees' productivity. It focuses on the value and impact of the conversational interface powered by artificial intelligence to improve employee productivity and to increase enterprise performance. The startup is based in France (Paris area) and it was created in 2017 by Bertrand Lafforgue and Amédée Potier, who both share a strong experience in the software industry (SAP, Microsoft, Rocket Software).",False,Chatbots to boost employee productivity; not a cross-department ops tool.
69,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","SAY IT Labs creates voice controlled video games for speech therapy. We blend artificial intelligence, speech science and proven therapeutic approaches in engaging video games that support your therapy goals.",False,SAY IT Labs creates speech therapy games; it does not aid in legislative work or lawmaking for elected officials.
70,"Assist patients in obtaining services, understanding policies and making health care decisions.",We aim to revolutionize health literacy with an AI-powered mobile app designed to transform the most intricate medical text into easily digestible information.,True,Transforms complex medical text for laypeople—improves understanding and decisions.
71,Control or operate entire chemical processes or system of machines.,"Retailers across the globe trust our Digital Experience Management (DXM) suite as both their revenue growth driver and their cost saving engine. They use the suite to personalize and curate the customer experience while also enabling end-to-end retail automation across site merchandizing, product, eCommerce & marketing operations.Retailers across the globe trust our Digital Experience Management (DXM) suite as both their revenue growth driver and their cost saving engine. They use the suite to personalize and curate the customer experience while also enabling end-to-end retail automation across site merchandizing, product, eCommerce & marketing operations.",False,"The Digital Experience Management (DXM) suite focuses on retail automation and personalization, not chemical process or machine operation."
72,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","We go by the name of CycleAI, a social project that seeks solutions for a sustainable urban mobility policy through AI. Perception of risk impedes people from cycling.",False,CycleAI focuses on urban mobility and risk perception for cycling using AI; it is unrelated to experimental physics or physical theory development.
73,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.",Immersive language learning app with generative AI Avatars. Engage in fun and interactive language learning with LLM-powered AI Avatars. Empowering next billion learners to overcome language barriers and seize new opportunities.,True,Language learning avatars support student education and development directly.
74,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Bandora aims at empowering Autonomous Building Operations with AI.  They provide 24/7 virtual facility manager to polish your smart building, eliminating unexpected downtime and maintenance. It is based in Lisbon, Portugal.",False,Bandora builds AI facility management; not relevant to finance.
75,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.","Futura makes high quality education accessible to everyone. Our AI-based platform optimizes your study time and test scores by learning from your past mistakes and targeting weak points with extra attention. We completely personalize learning, using a data-driven approach and modular classes that adapt to students’ individual needs.",False,"Futura personalizes education for academics, not physical fitness coaching."
76,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","A permanent audit
Sherlock detects vulnerabilities in your network, scores the criticality and vulnerability of each device
Sherlock is a Plug'n Play device. Once physically installed, it gets to work and scans any devices it detects. You will find all this information in real-time on your analysis interface.
Plug & play cyber risk mitigation solution for everyone. Our AI is the first 24/7 cybersecurity solution readable by everyone. Access cyber-serenity",True,Sherlock is a plug-and-play device scanning networks and devices 24/7 with AI; directly aligned with network analysis and security monitoring.
77,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions.","Relisten (by Recog) is a medical note taking automation software based on AI that specialises in in-person, multi-language patient-doctor interactions to generate structured, medical-language clinical notes.",False,Relisten automates medical note-taking and does not provide tools for lawmakers or the legislative process.
78,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.","SAT.IO originated as a spin-off from the Institute of Space Systems at the University of Stuttgart, Germany.",False,Space systems spin-off; no direct role in manual crop farming.
79,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","Merging AI & Blockchain to deliver AI Assistants serving as innovative distribution channels as well as Legal AssistantsVAIOT was founded in 2018 and is combining AI and blockchain technologies to deliver AI assistants. What do these assistants do exactly? They can act as innovative distribution channels, and even legal assistants. Their team landed around €5 million in funding in September 2020, which they aim to funnel into first serving the car insurance industry, before taking on other sectors.",False,"VAIOT combines AI + blockchain for legal assistants, not healthcare."
80,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","CitySwift is a data-driven scheduling and planning technology for urban bus networks.

The company uses artificial intelligence and machine learning to predict journey times and passenger demand, making routes more efficient. Schedulers can create optimized timetables that take into account traffic, events, and hundreds of other external factors,ensuring on-time performance and increased passenger satisfaction.
CitySwift was established on September 1, 2016 by Alan Farrelly and Brian O'Rourke in Galway, Ireland",True,AI bus scheduling/planning for networks—direct planning and coordination.
81,"Address organizational sustainability issues, such as waste stream management, green building practices, and green procurement plans.","Urbio is a software that helps the key actors of the urban energy transition discover the most efficient solutions to achieve their environmental and economic goals. Urbio is a software that helps the key actors of the energy transition plan and designs the most efficient technologies to heat, cool, and electrify our buildings. Using artificial intelligence, Urbio supports utilities, energy consultants, and planning departments in cities by generating a variety of solutions tailored to their needs.",True,AI planning for heating/cooling/electrification—direct to green building strategy.
82,"Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities.","SAY IT Labs creates voice controlled video games for speech therapy. We blend artificial intelligence, speech science and proven therapeutic approaches in engaging video games that support your therapy goals.",True,"Voice-controlled therapy games align with speech therapy goals for preschoolers, supporting articulation and language practice."
83,"Assess, plan, organize, and participate in rehabilitative programs that improve mobility, relieve pain, increase strength, and improve or correct disabling conditions resulting from disease or injury.",Introducing small AI to the Edge of the world without Cloud GPU,False,Edge AI hardware solutions are technical and not related to patient therapy or mobility improvement.
84,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.","A start-up created in 2017, MCLedger specializes in innovative Cloud, AI and Blockchain applications for Supply chain and Fintech.",False,"MCLedger focuses on supply chain and fintech solutions using AI and blockchain, but it does not appear to offer insurance sales or broker tools."
85,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers.","A start-up created in 2017, MCLedger specializes in innovative Cloud, AI and Blockchain applications for Supply chain and Fintech.",False,"Cloud/AI/Blockchain apps for supply chain/fintech; operational, not executive-level policy/direction."
86,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.","We create next-generation conversational AI agents for chat and email automation, as call center assistant and for knowledge retrieval.",False,This company builds conversational AI agents for chat and knowledge retrieval; it does not aid in researching physical phenomena or applying physical laws.
87,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.","Futura makes high quality education accessible to everyone. Our AI-based platform optimizes your study time and test scores by learning from your past mistakes and targeting weak points with extra attention. We completely personalize learning, using a data-driven approach and modular classes that adapt to students’ individual needs.",True,"Futura personalizes study and learning, directly relevant to educational interventions in schools."
88,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",Consulting and development services in Artificial Intelligence and Data Science,False,General AI and data science consulting does not provide insurance sales tools or assist in selling insurance products.
89,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.","MiiCare aims to disrupt the way care is provided. MiiCare's digital health coach and companion, 'Monica', empowers older adults to take more independence in their personal health and wellness needs while offering peace of mind, daily insights, and health data to both loved ones and care providers. MiiCare's ecosystem of IoT sensors and telehealth devices captures daily activities and body vitals enabling caregivers to better understand an older adult's health and prioritise ​care need.",True,"MiiCare offers a digital health companion for older adults, supporting independence and wellness. Overlaps with coaching in personal fitness for seniors."
90,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","Feebris is a team combines expertise in biomedical engineering, machine learning, global health and business. More importantly, they are unreasonably passionate about our vision to transform healthcare globally and make it equitable, personalised and patient-driven. Feebris is an AI-powered mobile platform for community-based diagnosis & monitoring. We want to see a world where no one suffers from treatable conditions simply because they cannot access a doctor. We are working to bring AI-powered monitoring and diagnosis to accelerate treatment access to every home around the world.",True,Feebris develops AI-powered mobile platforms for community diagnosis and monitoring. Strong alignment with informatics applied to nursing tasks.
91,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.",Spott is the next generation ATS & CRM for executive search firms.,False,"Spott is an applicant tracking and CRM system for executive search firms, unrelated to investigating cyber intrusions or preserving digital evidence."
92,"Manually plant, cultivate, and harvest vegetables, fruits, nuts, horticultural specialties, and field crops. Use hand tools, such as shovels, trowels, hoes, tampers, pruning hooks, shears, and knives. Duties may include tilling soil and applying fertilizers; transplanting, weeding, thinning, or pruning crops; applying pesticides; or cleaning, grading, sorting, packing, and loading harvested products. May construct trellises, repair fences and farm buildings, or participate in irrigation activities.",SaferPLACES is a start-up company formed in the framework of an EIT Climate-KIC funded research project started in 2018.,False,"SaferPLACES focuses on climate risk modeling, not crop labor tasks."
93,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.","We support Oncology Diagnosis (Pathologists, radiologists and oncologists) in better and faster diagnosis using AI (Deep Learning (DL) and Machine Learning (ML))We support Oncology Diagnosis (Pathology and radiology) in better and faster diagnosis using AI (Deep Learning (DL) and Machine Learning (ML))
In Pathology (https://micro.cancercenter.ai)
We provide Manual Whole Slide Imaging Software (PathoCam) to save pathology images by using your own microscope equipment.
PathoPlatform (https://pathoplatform.cancercenter.eu)- Web viewer: The zoom/view, annotate and share it by web/browser + AI modules to support Pathologist in Cancer Diagnosis
In Radiology:
DICOM web viewer to analyse Radiology images (MRI, CT, USG others) we work under AI modules to support radiologist in diagnosis process.
We have developed specialized algorithmic solutions to analyze medical images for Pathology and radiology for faster and better than human accuracy. Our solutions, which are both in API and Web Platforms, are designed to offer faster and better access for second and third diagnostic opinions by medical professionals to help develop a therapeutic approach quickly. This will help the patients and physicians by reducing anxiety caused by not knowing what they are dealing with.
Our solutions do all the work—segment images, find regions of interests, generate statistical descriptions of images, count cells, mitosis, and even recognize the type of cell.
Your focus—saving lives, our focus—image processing and fast detection",True,"This oncology AI platform provides cell segmentation, mitosis detection, and pathology image analysis — useful for microbiologists studying disease-related microorganisms."
94,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Auquan is transforming investment research, using self-assembling knowledge graphs, to simultaneously accelerate research time from weeks to hours, while expanding the overall data coverage available to an investment team.",True,Auquan accelerates investment research with AI knowledge graphs; useful for coordinating investment activities.
95,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.","We are an online marketplace which offers to investors in Japan quality investment analysis reports, in Japanese languages, about US-listed companies written by quality and transparent financial professional who are primarily based in the US and Europe.",False,The platform provides investment analysis reports for Japanese investors; it does not offer insurance sales or brokerage tools.
96,"Study the chemical composition or physical principles of living cells and organisms, their electrical and mechanical energy, and related phenomena. May conduct research to further understanding of the complex chemical combinations and reactions involved in metabolism, reproduction, growth, and heredity. May determine the effects of foods, drugs, serums, hormones, and other substances on tissues and vital processes of living organisms.",We help medical students become the doctors of tomorrow with our cutting-edge AI simulation platform.,False,"This platform helps train medical students with AI simulation; while related to healthcare education, it does not provide tools for biochemical or biophysical research on living cells or the effects of substances on tissues."
97,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Fiskl is a global financial management and accounting platform that employs artificial intelligence (AI) to reinvent the financial stack for small businesses.Fiskl is AI-powered, modern accounting software, built for small business owners and their teams. The mobile and web platform brings all business finances in one app: invoices, payments, estimates, expenses, products and services, time and mileage tracking, banking transactions & automated accounting. Used by small businesses in over 200 countries and a variety of industries, Fiskl makes it easy to invoice clients and take payments in over 60 languages and 170 currencies. With 21,000 banks connected globally, unparalleled dynamic FX and ledger management, and modern, AI-enabled accounting stack, Fiskl is at the leading edge of automated financial technology.
 
Our partners include some of the world’s largest financial institutions, global payment providers, mobile operators, and financial services providers (JP Morgan Chase, Revolut, BMO, Vodacom, Samsung, Stripe, Visa, Nexi, and more). 
 
Fiskl has won Accounting Tech of the Year at the Europe Fintech Awards in 2023 and 2022, Visa Everywhere Europe in 2021 and is ranked at #14 in the top 50 UK fintechs.",True,"Fiskl is a global AI-powered accounting and financial management platform; directly relevant to accounting, banking, and payments."
98,"Analyze, test, troubleshoot, and evaluate existing network systems, such as local area networks (LAN), wide area networks (WAN), cloud networks, servers, and other data communications networks. Perform network maintenance to ensure networks operate correctly with minimal interruption.","Founded in 2018, Infogrid is making the unfulfilled promise of scalable IoT a reality. Our goal is to be the global go-to provider for connected devices in smart buildings, creating dynamic solutions for everyday challenges. The Infogrid platform is capable of handling millions of data events from hundreds of thousands of sensors every day. Our values are important to us. They help us work towards the same goals, make the right decisions, and reflect our culture.",True,"Infogrid operates massive IoT sensor fleets for smart buildings; directly involves reliable connectivity, monitoring, and troubleshooting of IoT networks."
99,Control or operate entire chemical processes or system of machines.,"AI-powered search and discovery platform that applies state-of-the-art scientific methods to extract hidden signals and insights from data and shape them into knowledge, connections, and scores, that inform future predictions.",False,The AI-powered search and discovery platform focuses on extracting insights from data but does not provide technology to control or operate chemical processes or machine systems.
100,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",ChainTrust automates accounting entry of purchase and sales invoices with the help of algorithms and Artificial Intelligence. Chaintrust is the accounting automation solution for all firms. Our mission?  Free accountants from data entry to allow them to focus on their core business advice to their clients.,True,ChainTrust automates accounting entries with AI; directly relevant to accounting coordination.
101,"Investigate the growth, structure, development, and other characteristics of microscopic organisms, such as bacteria, algae, or fungi. Includes medical microbiologists who study the relationship between organisms and disease or the effects of antibiotics on microorganisms.","Mindpeak develops and distributes AI-based diagnostic software for the detection, quantification and classification of cancer. MindPeak's mission is to make microscopical analysis accessible for everyone in the world. We automate visual processes in the clinical laboratory with Artificial Intelligence and Deep Learning. Our partners are leading pathology and university labs. Our team consists of world-class industry experts in machine learning and company building.",True,"Mindpeak automates microscopic analysis in labs, strongly aligned with microbiology’s microscopy tasks."
102,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.","Your AI guide to weight loss during menopause and perimenopauseLila is your moon-inspired AI guide, designed to help women navigate weight loss during menopause and perimenopause. With personalized plans for nutrition, exercise, and habit-building, Lila simplifies weight loss, supports your changing body, and helps you feel confident, strong, and in control again.
Unlike generic fitness apps, Lila understands the unique challenges women face during this phase of life—like slower metabolism, cravings, and energy dips—and offers clear, tailored guidance that works for you.
Whether you’re looking to lose weight, build sustainable habits, or simply feel like yourself again, Lila is by your side, every step of the way.",False,Lila is a personal health and weight loss assistant; it provides no functionality for analyzing digital evidence or supporting law enforcement in cybercrime cases.
103,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.","Salesteq automates sales tasks, generates quality leads, and provides insights—boosting team productivity and revenue growth with AI-powered, autonomous execution.Salesteq is an AI-powered autonomous sales platform designed to supercharge revenue growth and cut operational costs. It autonomously generates high-quality leads, manages routine tasks, and provides actionable insights, allowing sales teams to focus on closing deals. Salesteq’s self-learning capabilities enable rapid onboarding and continuous performance monitoring, empowering teams to boost productivity from day one. Transform your sales process and drive measurable results with Salesteq.",False,"Salesteq automates sales outreach and lead generation; it does not assist with digital forensics, intrusion incident response, or evidence preservation."
104,"Apply knowledge of nursing and informatics to assist in the design, development, and ongoing modification of computerized health care systems. May educate staff and assist in problem solving to promote the implementation of the health care system.","Data normalisation smarter and easier than ever.The first automatic data normalization algorithm.
No more interoperability problems between heterogeneous data sources.",False,"General data normalization, not specific to healthcare IT."
105,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations.","At Zertia We help businesses navigate complex AI regulations, ensuring their AI systems are aligned with international standards and ethical practices. Our services focus on clarifying AI regulations through expert-led courses, auditing AI systems for compliance, and certifying organizations under ISO/IEC 42001:2023. At Zertia, we make AI compliance easy, enabling businesses to avoid costly penalties while promoting responsible AI innovation.Zertia offers three core services: 
Zertia Academy: We provide specialized training programs that help businesses understand and comply with the latest AI regulations. 
Auditing Services: Our team conducts comprehensive audits to evaluate AI systems for transparency, bias, and operational integrity. 
Certification Services: We assist organizations in obtaining certification for their AI management systems, ensuring adherence to international standards, including the newly developed ISO/IEC 42001. 
What distinguishes us from others is our focus on certification. Zertia is one of the few organizations to offer ISO 42001 Certification, a groundbreaking standard that helps companies establish and maintain a robust AI management system. Furthermore, we are in the process of obtaining international accreditation to become a Conformity Assessment Body (CAB) for AI Management Systems (AIMS) through the ANSI National Accreditation Board (ANAB). This will position us to offer globally recognized certifications, enhancing our authority and credibility in AI governance.",False,"Zertia specializes in auditing AI systems for compliance, transparency, and operational integrity, which can support investigations of AI-related security incidents and provide structured evidence for law enforcement or regulatory inquiries. However it is not a pure digital forensics platform."
106,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.","Qantev provides the ideal software suite for modern insurers. QantEv offers an AI-powered platform that performs advanced analytics on claims, optimizes networks of providers, and detects claim anomalies. Advanced analytics.
Actionable insights.
The future of insurance operations.",True,Qantev provides AI for claims analytics and insurer operations; directly relevant to insurance management tasks.
107,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.","German Bionic Systems, based in Augsburg, is the first European company to develop and build industrial exoskeletons. Exoskeletons are human-machine devices that combine human intelligence with mechanical power to help people develop more strength and endurance. In Industry 4.0, German Bionic is one of the world's leading robotics businesses concentrating on humans.",True,"German Bionic develops exoskeletons, enhancing strength and endurance. Highly relevant to fitness coaching for strength-based exercise."
